"Ciudad";"Precio";"Area_m2";"Habitaciones";"Banios";"Parqueadero";"Estrato";"Es_destacado"
" Cajica";256563000;46,65;3;2;2;4;1
" Itagui";397000000;69;3;2;2;3;0
" Santa Marta";269412598;65,15;2;2;2;4;0
" Cartagena";350000000;52,64;1;2;2;5;0
" Santa Marta";187074945;46,36;1;2;2;4;0
" Santiago de Cali";363970000;107,52;3;4;4;5;0
" Cartagena";609670000;101,9;2;3;3;5;0
" Bogota";150000000;24,61;3;2;2;3;1
" Itagui";429000000;77;3;2;2;3;0
" Bogota";193671000;23,91;1;1;1;4;0
" Bogota";143092833;42,12;2;1;1;3;0
" Itagui";340000000;64;3;2;2;3;0
" Santa Marta";134414718;33,8;1;1;1;4;0
" Cartagena";409340025;91,25;3;3;3;4;0
" Bogota";143092833;42,91;2;1;1;3;0
" Bogota";777126000;97,76;3;2;2;5;1
" Cartagena";365186700;85;3;2;2;4;0
" Santa Marta";117532013;30;1;1;1;4;0
" Santiago de Cali";466080000;101,96;3;3;3;5;0
" Santiago de Cali";261780000;79,94;2;2;2;5;0
" Bogota";175182000;20,37;1;1;1;4;0
" Fusagasuga";310350000;79;3;2;2;3;0
" Cartagena";366761018;84,6;3;2;2;4;0
" Cartagena";486000000;83,57;2;2;2;5;0
" Bogota";171948000;19,32;1;1;1;4;0
" Santiago de Cali";300000000;70;2;2;2;4;0
" Cartagena";302219962;65,15;2;2;2;4;0
" Santiago de Cali";278690000;86,04;2;3;3;5;0
" Cajica";256563000;46,65;3;2;2;4;1
" Fusagasuga";292400000;74;3;2;2;3;0
" Cartagena";370191245;85;3;2;2;4;0
" Cartagena";490052000;83,57;2;2;2;5;0
" La Estrella";305500000;71,83;3;2;2;4;0
" Bogota";246684000;26,96;1;1;1;4;0
" Cartagena";386867139;84,6;3;2;2;4;0
" Bogota";150000000;24,61;3;2;2;3;1
" Bogota";156492000;19,32;1;1;1;4;0
" Cartagena";490500000;83,57;2;2;2;5;0
" Medellin";733329625;132,37;3;3;3;5;0
" Copacabana";151900000;55,61;2;2;2;3;0
" Fusagasuga";397700000;102;3;2;2;3;0
" Sabaneta";499176870;87,6;3;2;2;4;0
" Jamundi";196120000;75,41;2;2;2;4;0
" Bogota";777126000;97,76;3;2;2;5;1
" Medellin";501525000;80,6;3;2;2;5;0
" Medellin";528662500;84,5;3;2;2;5;0
" Cajica";1111497000;164,38;4;5;5;5;0
" La Estrella";218000000;52;2;2;2;3;0
" Fusagasuga";299400000;76;3;2;2;3;0
" Cartagena";286134176;66;2;2;2;4;0
" Sabaneta";444930195;77,45;3;2;2;4;0
" Copacabana";147000000;53;2;2;2;3;0
" Cartagena";623120000;101,9;2;3;3;5;0
" Sabaneta";438740370;76,3;3;2;2;4;0
" La Estrella";306500000;70;3;2;2;4;0
" La Estrella";202000000;54,92;2;2;2;3;0
" Bogota";112155000;33,35;3;2;2;3;1
" Medellin";674800000;112;3;3;3;5;0
" La Estrella";336900000;78;3;2;2;4;0
" Sabaneta";376253265;64,6;2;2;2;4;0
" Cartagena";388601735;85;3;2;2;4;0
" Bogota";223998000;22,86;1;1;1;4;0
